image,gt,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000002.jpg,['tvmonitor'],-12.293243408203123,-13.17358684539795,-12.706175804138184,-11.834535598754885,-5.693603038787842,-14.15652561187744,-9.45392894744873,-9.372004508972168,-7.85041618347168,-12.611258506774902,-14.112212181091309,-10.23659324645996,-15.804363250732422,-12.235041618347168,-8.760748863220215,-10.77038288116455,-14.07785701751709,-12.125724792480469,-5.931166648864746,6.781554222106934
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000003.jpg,"['person', 'train']",-17.462661743164062,-9.518436431884766,-19.11141586303711,-11.6965913772583,-11.923029899597168,-12.522019386291504,-9.718244552612305,-12.925252914428713,-7.74571943283081,-14.71761703491211,-21.74965476989746,-9.6705904006958,-15.079730987548828,-17.292659759521484,-5.675137042999268,-7.258445262908935,-12.972541809082031,-12.486210823059082,1.110224366188049,-6.390451908111572
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000007.jpg,['boat'],-5.975090503692627,-17.81461524963379,-8.551362991333008,3.015087842941284,-12.440585136413574,-17.371065139770508,-11.498143196105955,-9.575035095214844,-11.31234645843506,-13.902647018432615,-16.80738067626953,-13.00747013092041,-12.095991134643556,-13.870208740234377,-10.102753639221191,-8.676392555236816,-14.008563041687012,-12.603841781616213,-12.773289680480955,-18.310073852539062
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000009.jpg,['cow'],-6.175158500671387,-9.119275093078612,-11.675968170166016,-11.02068042755127,-13.123748779296877,-11.286704063415527,-7.914687633514404,-7.750536918640137,-5.046901702880859,-1.3572014570236206,-14.155166625976562,-3.730814933776856,-3.5463459491729736,-13.049025535583496,-8.714186668395996,-7.81322717666626,-1.978911280632019,-17.218414306640625,-9.088200569152832,-16.168621063232422
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000016.jpg,['tvmonitor'],-10.530200958251951,-12.143298149108888,-13.700482368469238,-10.931432723999023,-3.836271762847901,-11.804434776306152,-11.197815895080566,-13.081476211547852,-12.011768341064451,-13.051065444946287,-13.670851707458496,-11.627167701721191,-8.49191665649414,-11.343067169189451,-14.246492385864258,-12.18305492401123,-16.37141990661621,-11.695836067199709,-10.655455589294434,8.1122465133667
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000021.jpg,['aeroplane'],10.91433811187744,-17.022451400756836,-14.81377124786377,-13.732270240783691,-14.604833602905272,-15.316234588623049,-9.908761024475098,-13.870767593383787,-18.713552474975582,-16.82716178894043,-13.880322456359863,-15.1087064743042,-11.651372909545898,-13.35373878479004,-9.120630264282228,-16.306346893310547,-12.814849853515623,-14.247512817382812,-15.192479133605955,-13.617840766906738
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000026.jpg,"['dog', 'person']",-20.742040634155277,-12.380898475646973,-10.94384479522705,-16.62445831298828,1.2711198329925537,-17.828081130981445,-15.477214813232422,-3.3793821334838867,-0.7637673616409302,-6.6781086921691895,-8.025588035583496,-10.128741264343262,-11.951959609985352,-20.956653594970703,10.27405071258545,-5.361124515533447,-10.230746269226074,-19.84851455688477,-14.819724082946776,-13.885796546936035
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000027.jpg,['car'],-4.395328521728516,-13.07107925415039,-13.333584785461426,-11.07256031036377,-12.296066284179688,-13.841681480407717,5.751209259033203,-10.810186386108398,-15.290858268737791,-15.407114028930664,-11.98142433166504,-12.50523281097412,-12.05047607421875,-3.094693183898926,8.185500144958496,-9.992318153381348,-14.856002807617188,-14.136992454528809,-5.072983264923096,-14.275915145874023
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000032.jpg,"['bus', 'person']",-11.214954376220703,-9.480996131896973,-14.351819038391112,-11.457013130187988,-13.533284187316896,-4.992450714111328,0.6763491630554199,-17.7225341796875,-17.447223663330078,-8.921196937561035,-12.34629249572754,-12.114352226257324,-13.46717357635498,-17.607343673706055,6.88861608505249,-8.296157836914062,-12.148115158081056,-13.038143157958984,-4.272622108459473,-14.817889213562012
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000034.jpg,"['bottle', 'person']",-14.819432258605955,-14.197066307067873,-15.062670707702637,-19.47138977050781,-5.484958171844482,-14.585806846618652,-8.641329765319824,-15.401159286499023,-10.904096603393556,-17.862686157226562,-8.642609596252441,-10.18506145477295,-9.981974601745604,-12.978203773498535,18.40603446960449,-17.61894416809082,-17.480836868286133,-13.977588653564451,-17.088773727416992,-13.345911979675291
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000042.jpg,['car'],-9.727368354797363,0.5334194302558899,-10.866238594055176,-3.521106719970703,-11.69007396697998,3.0395679473876958,2.0729007720947266,-11.883750915527344,-9.752723693847656,-7.678849220275879,-18.98101043701172,-11.341279983520508,-13.257779121398926,-9.17552661895752,-8.351466178894043,-12.977195739746094,-10.26993179321289,-17.68022918701172,-5.3224029541015625,-13.21119213104248
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000043.jpg,"['chair', 'diningtable']",-8.804540634155273,-8.726826667785645,-11.290343284606934,-10.893885612487791,-6.629329204559326,-16.040327072143555,-16.4682559967041,-7.257225513458252,13.254003524780272,-14.056333541870115,9.378317832946776,-14.676535606384276,-10.127891540527344,-11.706543922424316,-12.56265640258789,-8.353360176086426,-11.191059112548828,-9.416370391845703,-13.131233215332031,-12.117581367492676
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000050.jpg,['car'],-7.544273376464844,-6.920344352722168,-13.217646598815918,-6.47698450088501,-11.15562915802002,-4.393165588378906,3.1372711658477783,-13.065845489501951,-15.618452072143556,-9.660452842712402,-14.689297676086426,-18.62464714050293,-10.548157691955566,-9.670486450195312,-1.945972561836243,-19.481019973754883,-11.205885887145996,-17.87249183654785,-11.919695854187012,-13.286142349243164
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000051.jpg,"['bottle', 'chair', 'person']",-13.437949180603027,-7.848718643188477,-13.564040184020996,-12.722421646118164,-0.3154216408729553,-12.015268325805664,-12.091933250427246,-14.120097160339355,11.482272148132324,-13.212295532226562,-4.828061103820801,-14.99150562286377,-11.58711051940918,-14.26067066192627,6.77842378616333,-2.019094228744507,-9.91444206237793,-9.505559921264648,-8.40389347076416,-10.687949180603027
